,national_qr,international_qr,date_first_detected,date_last_detected
3cc40d1d56f27906f5d790067f2ee536,,1.0,2021-11-07,2024-06-16
a2c50769da4c7c6eaab3e8608ff86e35,,1.0,2021-11-07,2024-06-16
8f06567ff041ad939fd46cad614e0f24,,1.0,2021-11-07,2024-06-16
c9d95033b25e62a7ec362998e7a83ac4,,1.0,2021-11-07,2024-06-16
ba5bff978f65c91a7bdf40098b59ec19,,1.0,2021-11-07,2024-06-16
f84cde78e6cddd71cc8bea6d1e3babaa,,1.0,2021-11-07,2024-06-16
1c5ff8beb7e3168343b2f619eba3b931,,1.0,2021-11-07,2024-06-16
1a723a0e8b17afe2122ba08b87b1eccf,,1.0,2021-11-07,2024-06-16
c60693778a6681171d8e682c23ee0b6d,,1.0,2021-11-07,2024-06-16
0a2add9b78bb9a56958a70f067b97af0,,1.0,2021-11-07,2024-06-16
197c8d4f2927666848865cc65a7bc7e4,,1.0,2021-11-07,2024-06-16
7a2ec03fdd7a62a65bf71c8883636b3e,,1.0,2021-11-07,2024-06-16
d412ca7651066feca0c592a518c5c930,,1.0,2021-11-07,2024-06-16
c07c404c5dd50986c1d4c9fb4b9e9e5f,,1.0,2021-11-07,2024-06-16
8be864a2669c50e73c803348d6f5f4be,,1.0,2021-11-07,2024-06-16
a16578bba49f55be9fa29929562f857e,,1.0,2021-11-07,2024-06-16
57cdeb31b21fe49be7807be8b84f0bec,,1.0,2021-11-07,2024-06-16
e9f280833ffb3abfaeaedf7a1019ae0a,,1.0,2021-11-07,2024-06-16
28c7306a1b2f4635281baf63f552c7f3,,1.0,2021-11-07,2024-06-16
75952369dd6a0318813db9181fc9a98f,,1.0,2021-11-07,2024-06-16
a0cb2615e78a562244a847abde5ee3eb,,1.0,2021-11-07,2024-06-16
6ba75999413c49838b8e29c33881b95b,1.0,,2021-11-07,2024-06-16
adab3f36dbfb2fbc93b83daed00c8694,1.0,,2021-11-07,2024-06-16
c9cfd44943b22711e1dfe092dd9c6633,1.0,,2021-11-07,2024-06-16
c285fe8adbe00328e36dee1c9242d521,1.0,,2021-11-07,2024-06-16
a65d6c38b228d615c3b423760f837e14,1.0,,2021-11-07,2024-06-16
9f14ebb8072a906934392dc5bd2a856d,1.0,,2021-11-07,2024-06-16
dce88a4eb633326c87fac38f0e043391,1.0,,2021-11-07,2024-06-16
6b252f658b1a5cc753b9442bc54b9c74,1.0,,2021-11-07,2024-06-16
96b4e498b70e6a719c302690a0903b47,,1.0,2021-11-10,2024-06-16
fbffa1e7a7c1f0b40d2d700f2f27df6c,1.0,,2021-11-12,2024-06-16
fb769d50578e5615c66d9edc07edd34a,1.0,,2021-11-12,2024-06-16
fb8c60355a2e670a873d420cd03eecd2,1.0,,2021-11-12,2024-06-16
fba4837fb1786bde37b4bb25c6c1366b,1.0,,2021-11-12,2024-06-16
f80ac14c431ac3eee237c8135569fdff,1.0,,2021-11-12,2024-06-16
f86a4a77c332f5507c59626035381f50,1.0,,2021-11-12,2024-06-16
f8aa45ff603f8d871c360bd8f3777a95,1.0,,2021-11-12,2024-06-16
f8beef9565a52323b8508faf3a72c07e,1.0,,2021-11-12,2024-06-16
f8ed667b1a19eb423c9cb513792c2b35,1.0,,2021-11-12,2024-06-16
f8ff1dd1ce2687529c5f9de906f904cc,1.0,,2021-11-12,2024-06-16
f91de932ffae885e359a207610bca753,1.0,,2021-11-12,2024-06-16
f92cce4d1d1c1f88b5bed27098fe5f3e,1.0,,2021-11-12,2024-06-16
f982d96e5b833b5340a4a24aa83310a8,1.0,,2021-11-12,2024-06-16
f99770aad0b662d08733c1aa5039ee0f,1.0,,2021-11-12,2024-06-16
f9a22f39da4c616f3d6c29dd1f8cd6f4,1.0,,2021-11-12,2024-06-16
f9db0917103ebacf4dd30874af016e42,1.0,,2021-11-12,2024-06-16
fa3af4259d87fa5d1b82dfa95f55a8fa,1.0,,2021-11-12,2024-06-16
fa6b0d1fd6cf5a2613ab5fdde530698a,1.0,,2021-11-12,2024-06-16
faba2a240fc37892f6368c1402fd05d6,1.0,,2021-11-12,2024-06-16
fae1564f52a03112013732f236c37727,1.0,,2021-11-12,2024-06-16
faffca4e8b807f1a1561c7501fa3126f,1.0,,2021-11-12,2024-06-16
fb18e293e884a77830c53e3c890db967,1.0,,2021-11-12,2024-06-16
fb27aec3e9a84e2659a852371fa8e619,1.0,,2021-11-12,2024-06-16
ffdebd0a988f57cb6d5ba66586fc552a,1.0,,2021-11-12,2024-06-16
ffd69972dae6272501770d7e68232f47,1.0,,2021-11-12,2024-06-16
fc45e6f9f4b78b287b6392c63bfb7fa5,1.0,,2021-11-12,2024-06-16
fc617fb62222f186bb962eb8997b649d,1.0,,2021-11-12,2024-06-16
fc64daf8e043c941b8376b3c5ae484b0,1.0,,2021-11-12,2024-06-16
fc81fc334a102d960ecdbdbab29ccf06,1.0,,2021-11-12,2024-06-16
fc86ef0961d84b8df386b43f7ee9625c,1.0,,2021-11-12,2024-06-16
fc947d63531f9d83a9634eb1e1f58ce2,1.0,,2021-11-12,2024-06-16
fd195b3d28cc9c76323488be48c58b9b,1.0,,2021-11-12,2024-06-16
fd36513c3dc9fcb3317d411b095eb7ad,1.0,,2021-11-12,2024-06-16
fd40f3858943ba7b8324a34b3eba9405,1.0,,2021-11-12,2024-06-16
fd4a74f2e89e19299e1bcd2341905ff7,1.0,,2021-11-12,2024-06-16
fdd08ba15020606d89eb949620129e20,1.0,,2021-11-12,2024-06-16
fdd856c6a76d87e46f746f82f932d6f0,1.0,,2021-11-12,2024-06-16
fdefd9b6731091ae9bce6c49efc46b3e,1.0,,2021-11-12,2024-06-16
fe756179c0e6ac54247d02affe9b2909,1.0,,2021-11-12,2024-06-16
fec92e958409b5c58db12b0745aac57e,1.0,,2021-11-12,2024-06-16
